Nombre del Modelo,Tipo de Zapato,Precio
Nike Moon Shoe OG,Tenis para mujer,"$2,299"
Nike Moon Shoe OG SP,Tenis para mujer,"$2,299"
Nike Moon Shoe OG,Tenis para mujer,"$2,299"
Nike Moon Shoe OG SP,Tenis para mujer,"$2,299"
Nike Sprint Sister,Tenis para mujer,"$2,199"
Nike Sprint Sister,Tenis para mujer,"$2,199"
Nike Sprint Sister,Tenis para mujer,"$2,199"
"Air Jordan 3 Retro ""Sport Renaissance""",Tenis para mujer,"$4,399"
Nike 24.7,Tenis para mujer,"$3,299"
Nike Zoom GP Challenge Pro PRM,Tenis de tenis para cancha dura para mujer,"$2,999"
Nike Marina,Chanclas para mujer,$799
Nike Astrograbber de cuero,Tenis para mujer,"$2,899"
Nike Rejuven8 Run,Tenis para mujer,"$3,199"
Nike Air Force 1 '07 SE,Tenis para mujer,"$2,799"
